task_id,city,system,codes_cited,codes_ok,codes_fabricated,codes_misattributed,nppf_paras_cited,nppf_paras_invalid,details
PC-01,bristol,baseline,0,0,0,0,6,0,
PC-01,bristol,rag,3,3,0,0,2,0,
PC-02,bristol,baseline,1,1,0,0,2,0,
PC-02,bristol,rag,0,0,0,0,1,0,
PC-08,bristol,baseline,0,0,0,0,0,0,
PC-08,bristol,rag,0,0,0,0,1,0,
PC-03,bristol,baseline,0,0,0,0,2,0,
PC-03,bristol,rag,0,0,0,0,1,0,
PC-04,bristol,baseline,0,0,0,0,1,0,
PC-04,bristol,rag,0,0,0,0,2,0,
PC-05,bristol,baseline,0,0,0,0,0,0,
PC-05,bristol,rag,0,0,0,0,3,0,
PC-06,bristol,baseline,0,0,0,0,3,0,
PC-06,bristol,rag,0,0,0,0,2,0,
PC-07,bristol,baseline,0,0,0,0,4,0,
PC-07,bristol,rag,0,0,0,0,2,0,
ES-01,bristol,baseline,0,0,0,0,0,0,
ES-01,bristol,rag,0,0,0,0,0,0,
ES-02,bristol,baseline,0,0,0,0,0,0,
ES-02,bristol,rag,0,0,0,0,0,0,
ES-03,bristol,baseline,0,0,0,0,0,0,
ES-03,bristol,rag,0,0,0,0,0,0,
ES-04,bristol,baseline,0,0,0,0,0,0,
ES-04,bristol,rag,0,0,0,0,2,0,
ES-05,bristol,baseline,3,3,0,0,2,0,
ES-05,bristol,rag,1,1,0,0,0,0,
ES-06,bristol,baseline,0,0,0,0,1,0,
ES-06,bristol,rag,0,0,0,0,0,0,
ES-07,bristol,baseline,2,2,0,0,0,0,
ES-07,bristol,rag,2,2,0,0,0,0,
ES-08,bristol,baseline,0,0,0,0,1,0,
ES-08,bristol,rag,0,0,0,0,0,0,
SA-01,bristol,baseline,0,0,0,0,5,0,
SA-01,bristol,rag,2,2,0,0,1,0,
SA-02,bristol,baseline,0,0,0,0,3,0,
SA-02,bristol,rag,0,0,0,0,0,0,
SA-03,bristol,baseline,0,0,0,0,0,0,
SA-03,bristol,rag,1,1,0,0,0,0,
SA-04,bristol,baseline,2,2,0,0,4,0,
SA-04,bristol,rag,0,0,0,0,0,0,
SA-05,bristol,baseline,0,0,0,0,2,0,
SA-05,bristol,rag,0,0,0,0,1,0,
SA-06,bristol,baseline,0,0,0,0,2,0,
SA-06,bristol,rag,0,0,0,0,1,0,
SA-07,bristol,baseline,0,0,0,0,2,0,
SA-07,bristol,rag,0,0,0,0,0,0,
SA-08,bristol,baseline,0,0,0,0,0,0,
SA-08,bristol,rag,0,0,0,0,0,0,
SC-01,bristol,baseline,0,0,0,0,0,0,
SC-01,bristol,rag,1,0,0,1,2,1,MISATTRIBUTED:VL01(leicester); BAD_NPPF_PARAS:[311]
SC-02,bristol,baseline,0,0,0,0,5,0,
SC-02,bristol,rag,0,0,0,0,1,0,
SC-03,bristol,baseline,0,0,0,0,4,0,
SC-03,bristol,rag,0,0,0,0,1,0,
SC-04,bristol,baseline,0,0,0,0,0,0,
SC-04,bristol,rag,0,0,0,0,0,0,
SC-05,bristol,baseline,0,0,0,0,0,0,
SC-05,bristol,rag,0,0,0,0,0,0,
SC-06,bristol,baseline,0,0,0,0,3,0,
SC-06,bristol,rag,0,0,0,0,0,0,
SC-07,bristol,baseline,0,0,0,0,0,0,
SC-07,bristol,rag,0,0,0,0,2,0,
SC-08,bristol,baseline,0,0,0,0,2,0,
SC-08,bristol,rag,0,0,0,0,0,0,
ST-01,bristol,baseline,0,0,0,0,7,0,
ST-01,bristol,rag,0,0,0,0,0,0,
ST-02,bristol,baseline,0,0,0,0,0,0,
ST-02,bristol,rag,0,0,0,0,2,0,
ST-03,bristol,baseline,0,0,0,0,1,0,
ST-03,bristol,rag,0,0,0,0,0,0,
ST-04,bristol,baseline,0,0,0,0,4,0,
ST-04,bristol,rag,0,0,0,0,1,0,
ST-05,bristol,baseline,3,3,0,0,3,0,
ST-05,bristol,rag,1,1,0,0,1,0,
ST-06,bristol,baseline,0,0,0,0,4,0,
ST-06,bristol,rag,0,0,0,0,2,0,
ST-07,bristol,baseline,0,0,0,0,1,0,
ST-07,bristol,rag,0,0,0,0,1,0,
ST-08,bristol,baseline,0,0,0,0,0,0,
ST-08,bristol,rag,2,0,0,2,1,0,MISATTRIBUTED:DEV20(plymouth); MISATTRIBUTED:PG3(birmingham)
BIR-PC-01,birmingham,baseline,5,2,0,3,5,0,MISATTRIBUTED:H1(leeds|liverpool|london|southampton); MISATTRIBUTED:H2(leeds|liverpool|london); MISATTRIBUTED:H3(leeds|liverpool|london)
BIR-PC-01,birmingham,rag,1,1,0,0,1,0,
BIR-PC-02,birmingham,baseline,0,0,0,0,0,0,
BIR-PC-02,birmingham,rag,0,0,0,0,1,0,
BIR-ES-01,birmingham,baseline,3,3,0,0,0,0,
BIR-ES-01,birmingham,rag,3,3,0,0,0,0,
BIR-ES-02,birmingham,baseline,1,1,0,0,4,0,
BIR-ES-02,birmingham,rag,5,5,0,0,3,0,
BIR-SA-01,birmingham,baseline,7,3,0,4,0,0,MISATTRIBUTED:DM1(bristol); MISATTRIBUTED:EN1(leeds|nottingham); MISATTRIBUTED:H1(leeds|liverpool|london|southampton); MISATTRIBUTED:HE1(nottingham)
BIR-SA-01,birmingham,rag,0,0,0,0,0,0,
BIR-SC-01,birmingham,baseline,1,1,0,0,0,0,
BIR-SC-01,birmingham,rag,1,1,0,0,0,0,
